WIELICKA,551
29 LISTOPADA,517
OPOLSKA,391
ZAKOPIAŃSKA,367
W RONDZIE,349
NOWOHUCKA,306
POKOJU,283
AL SŁOWACKIEGO,282
POWSTAŃCÓW WIELKOPOLSKICH,280
JANA PAWŁA II,256
KAMIEŃSKIEGO,214
KOCMYRZOWSKA,212
KONOPNICKIEJ,195
AL MICKIEWICZA,188
ANDERSA,185
DIETLA,173
LUBLAŃSKA,173
ARMII KRAJOWEJ,162
HERBERTA,154
ŁOKIETKA,150
IGOŁOMSKA,146
BORA KOMOROWSKIEGO,141
CONRADA,140
STELLA SAWICKIEGO,134
DOBREGO PASTERZA,133
AL KRASIŃSKIEGO,129
CH BONARKA,128
KLIMECKIEGO,128
KOBIERZYŃSKA,125
JASNOGÓRSKA,124
WITA STWOSZA,124
SOLIDARNOŚCI,114
PRĄDNICKA,107
CH ZAKOPIANKA,107
RONDO GRZEGÓRZECKIE,106
RONDO MATECZNY,106
BRONOWICKA,104
RONDO MOGILSKIE,104
KSIĘCIA JÓZEFA,103
PÓŁŁANKI,103
POWSTAŃCÓW ŚLĄSKICH,103
WROCŁAWSKA,100
STAROWIŚLNA,100
PAWIA,97
POWSTAŃCÓW,95
PODGÓRSKA,94
MOGILSKA,94
RADZIKOWSKIEGO,93
POWSTANIA WARSZAWSKIEGO,92
SKOTNICKA,89
